delta_e_mean,delta_e_max,eta_mean,eta_min,signal_std,surrogate_id
1.032414070538326,21.00438225026037,0.5375324482407889,5.087508050760513e-109,3.282800159456243e-07,67
1.05073650488769,22.184996797264326,0.5387145089014621,3.578429894102941e-115,3.282800159456243e-07,68
1.0590001957996953,22.330563224605722,0.5364307105386295,6.238327340495834e-116,3.282800159456243e-07,69
1.0416471366460436,21.176683177390537,0.5410173221683655,6.435066020932177e-110,3.282800159456243e-07,70
1.066982489816132,22.8361222943882,0.5383971399468532,1.4465384704754677e-118,3.282800159456243e-07,71
1.0246649608845366,19.18950303561394,0.5382802835688533,1.4615357684200272e-99,3.282800159456243e-07,72
1.0102802474843766,20.720339989688043,0.5408556956724011,1.5374498066838263e-107,3.282800159456243e-07,73
1.0295373716183804,21.86298064051563,0.5390331291486117,1.7056526478238828e-113,3.282800159456243e-07,74
1.0619928961902503,22.40989918267817,0.5392338091437696,2.4077208512624623e-116,3.282800159456243e-07,75
1.033126801909254,19.19882165440271,0.5369736233835395,1.3069084072587083e-99,3.282800159456243e-07,76
1.0542648430147559,20.600914146307677,0.5395339265983887,6.444552463651039e-107,3.282800159456243e-07,77
1.0419171194975583,19.384127579296106,0.5394977233084213,1.414220290610948e-100,3.282800159456243e-07,78
1.026417175945643,21.645487900475377,0.5390551320895925,2.319323642174417e-112,3.282800159456243e-07,79
1.030442304422672,21.87783650325692,0.5427119620831002,1.4271471751683854e-113,3.282800159456243e-07,80
1.0311624226729894,22.103339811962613,0.5413942797798974,9.533462240183656e-115,3.282800159456243e-07,81
1.034060770406918,20.038380369994222,0.5382348014778366,5.506257822997738e-104,3.282800159456243e-07,82
1.0456820581852224,22.378293435843606,0.5390480275789612,3.5182002181402607e-116,3.282800159456243e-07,83
1.0766738556437094,20.715426119727727,0.5373682758367834,1.6308339563283506e-107,3.282800159456243e-07,84
1.023934201208478,22.312785471491544,0.5386270180115011,7.721781714258944e-116,3.282800159456243e-07,85
1.0557706661829889,21.816027183904495,0.5399767831020192,2.996333281047415e-113,3.282800159456243e-07,86
1.067261445401291,22.93284437774486,0.5394403369257816,4.5316836329720004e-119,3.282800159456243e-07,87
1.0491808084134149,22.226290471333026,0.5405395524718382,2.1801638582669023e-115,3.282800159456243e-07,88
1.036649814548576,20.91199594384563,0.535112446600674,1.5416275626536269e-108,3.282800159456243e-07,89
1.0016966254291013,22.9081440136089,0.5401760410527373,6.095177611200904e-119,3.282800159456243e-07,90
1.0184392259838144,21.945031970046568,0.5400572423348912,6.3720227398898395e-114,3.2828001594562433e-07,91
1.0141604921174898,21.9275436309682,0.5433402569190856,7.859924727197316e-114,3.282800159456243e-07,92
1.034580376629652,20.47458904545137,0.5397621446063329,2.934541760979202e-106,3.282800159456243e-07,93
1.0380256595678792,22.109319771382545,0.5376511180608347,8.873314818484492e-115,3.2828001594562433e-07,94
1.045720027236596,22.258226943777807,0.5373346619244078,1.48611059622678e-115,3.282800159456243e-07,95
1.051988816666019,19.85006919333479,0.5359916912263241,5.275293187409737e-103,3.282800159456243e-07,96
1.0287005458914291,19.859025255819724,0.5394895389676203,4.737746063335206e-103,3.282800159456243e-07,97
1.0595885254147877,22.124188650280207,0.5378938245036745,7.423286554243788e-115,3.282800159456243e-07,98
1.0417250812495165,20.129557873665057,0.53983037204625,1.843664537335462e-104,3.282800159456243e-07,99
1.0233029816501553,19.88937926037102,0.5415536377659879,3.2914014737421684e-103,3.282800159456243e-07,100
