time_tag,short_flux,long_flux
2026-03-04 02:04:00+00:00,3.471280862754611e-08,1.3981730262457859e-06
2026-03-04 02:05:00+00:00,3.229846967656158e-08,1.385154178024095e-06
2026-03-04 02:06:00+00:00,3.268864290362217e-08,1.3687305226994795e-06
2026-03-04 02:07:00+00:00,3.112574376018529e-08,1.3556522162616602e-06
2026-03-04 02:08:00+00:00,2.8922535477704514e-08,1.3457990917231655e-06
2026-03-04 02:09:00+00:00,2.8716277356011233e-08,1.336911282123765e-06
2026-03-04 02:10:00+00:00,2.738251403400227e-08,1.3288718037074432e-06
2026-03-04 02:11:00+00:00,2.776260465964242e-08,1.3380650898398017e-06
2026-03-04 02:12:00+00:00,2.6525441398916882e-08,1.3270445151647436e-06
2026-03-04 02:13:00+00:00,2.750080518865161e-08,1.3141795989213279e-06
2026-03-04 02:14:00+00:00,2.648466690402529e-08,1.3125164741722983e-06
2026-03-04 02:15:00+00:00,2.6883284931500384e-08,1.3212187468525372e-06
2026-03-04 02:16:00+00:00,2.8930211115607563e-08,1.3471347983795567e-06
2026-03-04 02:17:00+00:00,3.3826793810476374e-08,1.3983832332087331e-06
2026-03-04 02:18:00+00:00,4.143756271446364e-08,1.4703896340506617e-06
2026-03-04 02:19:00+00:00,5.2856641730159026e-08,1.5620869362464873e-06
2026-03-04 02:20:00+00:00,6.349291226115383e-08,1.692211640147434e-06
2026-03-04 02:21:00+00:00,7.048296168932211e-08,1.7851270968094468e-06
2026-03-04 02:22:00+00:00,7.452486272541137e-08,1.8526484382164199e-06
2026-03-04 02:23:00+00:00,7.640817045739823e-08,1.882885385384725e-06
2026-03-04 02:24:00+00:00,7.567201265601398e-08,1.9032446516575874e-06
2026-03-04 02:25:00+00:00,7.497731502326133e-08,1.9123756374028744e-06
2026-03-04 02:26:00+00:00,7.219228592703075e-08,1.9030208022741135e-06
2026-03-04 02:27:00+00:00,6.826188325703697e-08,1.8925102267530747e-06
2026-03-04 02:28:00+00:00,6.457405987703169e-08,1.8828156953532016e-06
2026-03-04 02:29:00+00:00,6.286928311283191e-08,1.8646040871317382e-06
2026-03-04 02:30:00+00:00,5.877593522995994e-08,1.846833470153797e-06
2026-03-04 02:31:00+00:00,5.5393361009237196e-08,1.8283858480572235e-06
2026-03-04 02:32:00+00:00,5.7273712883443295e-08,1.8324319626117358e-06
2026-03-04 02:33:00+00:00,5.696012550515661e-08,1.8420977312416653e-06
2026-03-04 02:34:00+00:00,5.727533647359451e-08,1.8455547206031042e-06
2026-03-04 02:35:00+00:00,5.681755510522635e-08,1.8373460761722527e-06
2026-03-04 02:36:00+00:00,5.662322521970964e-08,1.820710963329475e-06
2026-03-04 02:37:00+00:00,5.424717741675522e-08,1.8109965367330005e-06
2026-03-04 02:38:00+00:00,5.244828926720402e-08,1.7989108300753287e-06
2026-03-04 02:39:00+00:00,5.109896861199559e-08,1.7878544440463884e-06
2026-03-04 02:40:00+00:00,5.184712037475947e-08,1.7809878727348405e-06
2026-03-04 02:41:00+00:00,4.862814506623181e-08,1.7768873021850595e-06
2026-03-04 02:42:00+00:00,4.937941611160568e-08,1.7768995803635335e-06
2026-03-04 02:43:00+00:00,4.922109297922361e-08,1.7762934021448018e-06
2026-03-04 02:44:00+00:00,4.90672356079358e-08,1.7734757875587093e-06
2026-03-04 02:45:00+00:00,4.7997197327731556e-08,1.7669464114078437e-06
2026-03-04 02:46:00+00:00,4.706682332766832e-08,1.7582233340363018e-06
